Latitude,Longitude,Disturbance agent
50.0833333,17,hydro_geo
63.98,18.02,fire
49.21,18.23,wind
49.24,18.25,wind
49.3666667,18.2666667,hydro_geo
59.18,18.27,fire
49.3596944,18.3808333,wind
49.3595,18.3820556,wind
49.36,18.38,wind
49.32,18.39,wind
49.65,18.42,hydro_geo
49.54,18.44,hydro_geo
49.55,18.44,hydro_geo
49.27,18.6,hydro_geo
64.86,18.77,fire
49.5166667,18.7833333,hydro_geo
43.32,18.7,wind
63.93,18.81,fire
51,18,hydro_geo
49.4495278,19.083,hydro_geo
49.013,19.20196,outbreak
48.987,19.21951,outbreak
58.37,19.25,fire
68.3183333,19.2788889,outbreak
49.516,19.31581,outbreak
64.57,19.49,fire
48.916,19.57701,outbreak
41.2967761,19.5878439,hydro_geo
48.9433333,19.5930556,wind
48.947,19.66373,outbreak
49.264,19.72282,outbreak
64.2,19.7,fire
66.95,19.82,fire
49.192,19.89865,outbreak
49.2508333,19.9341667,hydro_geo
49.221,19.95114,outbreak
49.173,19.98509,outbreak
49.201,20.0679444,hydro_geo
49.191,20.11506,outbreak
49.1539781,20.1198886,wind
49.1622856,20.1380158,wind
66.88,20.15,fire
51.5927,20.1617,outbreak
49.215,20.16312,outbreak
42.175,20.1916667,hydro_geo
49.175,20.1916667,hydro_geo
49.231,20.19487,outbreak
65.26,20.48,fire
49.47,20,hydro_geo
45.5,21.25,hydro_geo
46.1833333,22.1166667,wind
46.17,22.12,wind
57.666423,22.368403,fire
41.834806,23.377007,fire
42,23.3,outbreak
42.55,23.3,wind
52.3,23.3,fire
42.0380694,23.4161336,wind
48.18,23.42,wind
42.0833333,23.4666667,wind
45.3666667,23.4666667,hydro_geo
45.34,23.5396111,hydro_geo
42.162567,23.564477,wind
52.7576231,23.7383517,fire
52.6880556,23.7588889,fire
48.608,23.89939,outbreak
48.613,23.91941,outbreak
48.596,23.93094,outbreak
48.56,24.09309,outbreak
48.503,24.11092,outbreak
35.2333333,24.15,hydro_geo
48.537,24.16407,outbreak
45.37,24.36,hydro_geo
45.553,24.42546,outbreak
67.7,24.4,fire
41.6011111,24.5741667,fire
60.3209444,24.5916111,fire
45.631,24.59437,outbreak
45.5,24.5,hydro_geo
45.6330556,24.6102778,hydro_geo
45.574,24.61325,outbreak
45.638,24.63274,outbreak
45.633,24.66695,outbreak
45.643,24.70004,outbreak
45.64,24.72226,outbreak
45.64,24.74014,outbreak
45.636,24.79517,outbreak
63.2,24.8,fire
45.623,24.96536,outbreak
48.6,24,outbreak
47.114121,25.199673,hydro_geo
61.3166667,25.1,fire
47.081,25.22073,outbreak
47.1147222,25.2572222,wind
47.114,25.25818,outbreak
47.114,25.25904,outbreak
61.3,25.2,fire
47.1,25.3,outbreak
47.443,25.46808,outbreak
47.447,25.46824,outbreak
47.437,25.46851,outbreak
45.6,25.6,wind
67.4,28.7,fire
61.8,29.3,outbreak
67.7,29.5,fire
67.8,29.6,fire
64.9916667,30.2125,fire
65.0288611,30.3751667,fire
41.063105,33.81974,hydro_geo
44.52,34.04,hydro_geo
62.2758333,36.7508333,fire
44.29,39.5,hydro_geo
6.51,45.54,hydro_geo
43.48,5.34,fire
45.2833333,5.8166667,hydro_geo
61.825,56.8433333,fire
45.0333333,6.0833333,hydro_geo
44.25,6.36,hydro_geo
44.25,6.37,hydro_geo
44.25,6.45,hydro_geo
44.9435833,6.7935278,outbreak
45.7833333,6.8666667,hydro_geo
45.2888889,6.9519444,fire
46.3,6.9,hydro_geo
39.1333333,68.0666667,hydro_geo
30.3,68.3,fire
28.4,68.9,fire
